start_date,lowest_price,weekday
2019-05-17 14:30:00,68.65,friday
2019-05-17 15:00:00,68.65,friday
2019-05-17 18:00:00,75.4,friday
2019-05-17 19:00:00,75.4,friday
2019-05-17 19:30:00,66.75,friday
2019-05-17 20:00:00,66.75,friday
2019-05-17 20:30:00,66.75,friday
2019-05-17 21:25:00,66.75,friday
2019-05-14 06:30:00,66.75,tuesday
2019-05-14 07:30:00,66.75,tuesday
2019-05-14 08:00:00,75.4,tuesday
2019-05-14 08:20:00,75.4,tuesday
2019-05-14 08:30:00,75.4,tuesday
2019-05-14 09:00:00,75.4,tuesday
2019-05-14 10:30:00,75.4,tuesday
2019-05-14 11:30:00,58.15,tuesday
2019-05-14 12:30:00,58.15,tuesday
2019-05-14 14:00:00,66.75,tuesday
2019-05-14 14:30:00,66.75,tuesday
2019-05-14 15:00:00,66.75,tuesday
2019-05-14 16:00:00,68.65,tuesday
2019-05-14 17:00:00,66.75,tuesday
2019-05-14 18:00:00,58.15,tuesday
2019-05-14 19:00:00,58.15,tuesday
2019-05-14 19:30:00,49.55,tuesday
2019-05-14 20:00:00,49.55,tuesday
2019-05-14 20:30:00,49.55,tuesday
2019-05-14 21:25:00,49.55,tuesday
2019-05-13 05:50:00,58.15,monday
2019-05-13 06:30:00,58.15,monday
2019-05-13 07:00:00,75.4,monday
2019-05-13 07:30:00,75.4,monday
2019-05-13 08:00:00,85.1,monday
2019-05-13 08:20:00,85.1,monday
2019-05-13 08:30:00,85.1,monday
2019-05-13 09:30:00,75.4,monday
2019-05-13 14:00:00,66.75,monday
2019-05-13 14:30:00,66.75,monday
2019-05-13 15:00:00,66.75,monday
2019-05-13 15:30:00,66.75,monday
2019-05-13 16:00:00,78.8,monday
2019-05-13 17:00:00,88.95,monday
2019-05-13 18:00:00,75.4,monday
2019-05-13 18:30:00,49.55,monday
2019-05-13 20:00:00,49.55,monday
2019-05-13 20:30:00,49.55,monday
2019-05-13 21:25:00,49.55,monday
2019-05-12 06:20:00,49.55,sunday
2019-05-12 07:30:00,66.75,sunday
2019-05-12 08:30:00,66.75,sunday
2019-05-12 09:30:00,66.75,sunday
2019-05-12 10:30:00,66.75,sunday
2019-05-12 14:00:00,85.1,sunday
2019-05-12 17:00:00,88.95,sunday
2019-05-12 20:00:00,100.4,sunday
2019-05-11 07:30:00,58.15,saturday
2019-05-11 08:30:00,58.15,saturday
2019-05-11 09:30:00,58.15,saturday
2019-05-11 11:30:00,75.4,saturday
2019-05-11 12:30:00,85.08,saturday
2019-05-11 15:30:00,58.15,saturday
2019-05-11 17:30:00,58.15,saturday
2019-05-11 18:30:00,58.15,saturday
2019-05-11 19:30:00,58.15,saturday
2019-05-10 05:50:00,49.55,friday
2019-05-10 06:30:00,49.55,friday
2019-05-10 07:00:00,49.55,friday
2019-05-10 07:30:00,49.55,friday
2019-05-10 08:00:00,58.15,friday
2019-05-10 08:30:00,58.15,friday
2019-05-10 14:00:00,58.45,friday
2019-05-10 16:00:00,88.95,friday
2019-05-10 18:00:00,75.4,friday
2019-05-10 19:00:00,66.75,friday
2019-05-10 20:00:00,66.75,friday
2019-05-10 20:30:00,66.75,friday
2019-05-10 21:25:00,75.4,friday
2019-05-09 06:30:00,49.55,thursday
2019-05-09 07:20:00,49.55,thursday
2019-05-09 07:30:00,49.55,thursday
2019-05-09 08:00:00,58.15,thursday
2019-05-09 08:20:00,58.15,thursday
2019-05-09 08:30:00,58.15,thursday
